Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,7769.259766,7877.189941,7753.759766,7877.189941,7875.165039,112900
2019-12-03,7858.959961,7888.459961,7829.350098,7855.180176,7853.160645,123600
2019-12-04,7848.529785,7848.529785,7772.049805,7815.930176,7813.920898,250600
2019-12-05,7789.740234,7817.970215,7777.069824,7790.910156,7788.907227,171400
2019-12-06,7796.439941,7811.189941,7760.75,7801.720215,7799.714355,152400
2019-12-09,7825.129883,7838.490234,7779.799805,7779.799805,7777.799805,171600
2019-12-10,7760.169922,7777.450195,7735.609863,7736.180176,7734.191406,117800
2019-12-11,7752.22998,7801.100098,7751.529785,7786.410156,7784.408691,254700
2019-12-12,7744.149902,7787.740234,7720.5,7741.069824,7739.07959,327800
2019-12-13,7818.399902,7884.169922,7804.97998,7877.629883,7875.60498,390100
2019-12-16,7882.759766,7892.290039,7701.600098,7701.600098,7699.620117,0
2019-12-17,7708.069824,7730.450195,7631.080078,7730.450195,7728.462891,0
2019-12-18,7751.290039,7751.290039,7682.939941,7733.669922,7731.681641,0
2019-12-19,7751.209961,7751.209961,7617.75,7653.939941,7651.972168,194600
2019-12-20,7643.990234,7773.120117,7469.410156,7773.120117,7771.12207,303800
2019-12-23,7745.959961,7872.600098,7745.259766,7872.600098,7870.576172,124400
2019-12-24,null,null,null,null,null,null
2019-12-25,null,null,null,null,null,null
2019-12-26,7794.529785,7842.279785,7772.970215,7842.279785,7840.263672,96200
2019-12-27,7848.390137,7891.990234,7815.259766,7815.259766,7813.250488,177800
2019-12-30,null,null,null,null,null,null
2019-12-31,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-01-02,7721.259766,7742.529785,7643.97998,7742.529785,7740.539551,101100
2020-01-03,7737.700195,7890.939941,7737.700195,7839.790039,7837.774414,118900
2020-01-06,7802.859863,7802.859863,7697.890137,7797.870117,7795.865723,102100
2020-01-07,7840.700195,7840.700195,7840.700195,7840.700195,7838.68457,0
2020-01-08,7762.47998,7767.620117,7721.290039,7736.240234,7734.251465,122300
2020-01-09,7736.629883,7797.640137,7736.629883,7797.640137,7795.635742,135500
2020-01-10,7794.899902,7794.899902,7729.049805,7776.77002,7774.770996,102200
2020-01-13,null,null,null,null,null,null
2020-01-14,7793.25,7793.25,7793.25,7793.25,7791.246582,0
2020-01-15,7784.140137,7784.140137,7664.399902,7664.399902,7662.429688,132800
2020-01-16,7674.47998,7679.279785,7614.72998,7653.180176,7651.212891,121400
2020-01-17,7691.870117,7722.580078,7648.939941,7722.580078,7720.594727,109300
2020-01-20,7727.450195,7727.450195,7513.950195,7552.600098,7550.658691,149200
2020-01-21,7570.200195,7586.589844,7442.129883,7466.649902,7464.730469,152700
2020-01-22,7469.140137,7478.100098,7425.859863,7468.72998,7466.810059,140400
2020-01-23,7503.640137,7616.350098,7495.600098,7616.350098,7614.39209,119100
2020-01-24,7622.120117,7635.620117,7581.120117,7623.410156,7621.450195,106100
2020-01-27,7616.899902,7624.370117,7580.669922,7587.629883,7585.679199,0
2020-01-28,7563.120117,7563.120117,7468.700195,7468.700195,7466.780273,0
2020-01-29,7472.529785,7472.529785,7423.669922,7462.310059,7460.391602,120400
2020-01-30,7466.450195,7484.649902,7392.680176,7392.680176,7390.779785,0
2020-01-31,7413.169922,7446.259766,7200.790039,7200.790039,7198.938965,219400
2020-02-03,7206.220215,7219.609863,7129.189941,7137.029785,7135.194824,128900
2020-02-04,7172.410156,7276.399902,7158.200195,7226.899902,7225.041992,132800
2020-02-05,7291.439941,7352.850098,7281.419922,7352.850098,7350.959961,0
2020-02-06,7373.589844,7506.509766,7373.589844,7506.209961,7504.280273,141000
2020-02-07,7447.330078,7507.200195,7429.609863,7507.200195,7505.270508,96700
2020-02-10,7510.839844,7510.839844,7414.009766,7430.859863,7428.949707,119500
