Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,19500.07031,19500.07031,19235.96094,19498.5,19498.5,87500
2020-04-13,19312.03906,19355.03906,19014.32031,19043.40039,19043.40039,65600
2020-04-14,19150.30078,19705.99023,19093.11914,19638.81055,19638.81055,81900
2020-04-15,19589.25,19660.67969,19465.94922,19550.08984,19550.08984,94100
2020-04-16,19311.30078,19362.16992,19154.41016,19290.19922,19290.19922,81400
2020-04-17,19575.84961,19922.07031,19554.69922,19897.25977,19897.25977,87800
2020-04-20,19689.84961,19784.38086,19611.78906,19669.11914,19669.11914,65000
2020-04-21,19479.83008,19529.06055,19193.2207,19280.7793,19280.7793,79400
2020-04-22,19109.17969,19137.94922,18858.25,19137.94922,19137.94922,76400
2020-04-23,19313.03906,19429.43945,19221.53906,19429.43945,19429.43945,72600
2020-04-24,19331.85938,19352.24023,19175.38086,19262,19262,84700
2020-04-27,19410.83984,19819.06055,19410.17969,19783.2207,19783.2207,77600
2020-04-28,19776.17969,19841.7793,19638.48047,19771.18945,19771.18945,68600
2020-04-30,20105.67969,20365.89063,20084.83008,20193.68945,20193.68945,103400
2020-05-01,19991.9707,20000.25,19551.73047,19619.34961,19619.34961,86600
2020-05-07,19468.51953,19720.86914,19448.92969,19674.76953,19674.76953,82900
2020-05-08,19972.08984,20179.08984,19894.58008,20179.08984,20179.08984,82200
2020-05-11,20333.73047,20534.88086,20285.03906,20390.66016,20390.66016,76200
2020-05-12,20413.23047,20457.36914,20293.9707,20366.48047,20366.48047,67700
2020-05-13,20140.91992,20329.89063,20056.46094,20267.05078,20267.05078,79500
2020-05-14,20140.49023,20185,19902.92969,19914.7793,19914.7793,76900
2020-05-15,20149.78906,20198.25,19832.88086,20037.4707,20037.4707,75200
2020-05-18,20097.61914,20197.58984,19999.09961,20133.73047,20133.73047,71900
2020-05-19,20469.51953,20659.46094,20433.44922,20433.44922,20433.44922,93000
2020-05-20,20454.49023,20684.46094,20454.0293,20595.15039,20595.15039,71800
2020-05-21,20692.58984,20734.91016,20503.86914,20552.31055,20552.31055,62900
2020-05-22,20583.94922,20615.11914,20334.99023,20388.16016,20388.16016,71100
2020-05-25,20653.41016,20741.65039,20584.06055,20741.65039,20741.65039,55100
2020-05-26,20927.96094,21328.33984,20918.10938,21271.16992,21271.16992,87200
2020-05-27,21249.31055,21475.67969,21142.7207,21419.23047,21419.23047,112000
2020-05-28,21612.90039,21926.28906,21580.5,21916.31055,21916.31055,134000
2020-05-29,21807.63086,21955.43945,21710.80078,21877.89063,21877.89063,153200
2020-06-01,21910.89063,22161.39063,21898.99023,22062.39063,22062.39063,72200
2020-06-02,22175.51953,22401.78906,22118.40039,22325.60938,22325.60938,77900
2020-06-03,22649.00977,22818.86914,22462.67969,22613.75977,22613.75977,94100
2020-06-04,22885.14063,22907.91992,22501.81055,22695.74023,22695.74023,92000
2020-06-05,22613.08008,22865.88086,22563.56055,22863.73047,22863.73047,85600
2020-06-08,23121.98047,23178.09961,23028.61914,23178.09961,23178.09961,108500
2020-06-09,23135.78906,23185.84961,22933.14063,23091.0293,23091.0293,91500
2020-06-10,22939,23175.82031,22900.30078,23124.94922,23124.94922,75600
2020-06-11,22848.01953,22939.39063,22466.53906,22472.91016,22472.91016,105900
2020-06-12,22082.11914,22350.30078,21786.92969,22305.48047,22305.48047,120500
2020-06-15,22135.26953,22251.83008,21529.83008,21530.94922,21530.94922,78500
2020-06-16,21912.28906,22624.14063,21899.48047,22582.21094,22582.21094,100100
2020-06-17,22517.14063,22536.38086,22318.07031,22455.75977,22455.75977,72500
2020-06-18,22363.88086,22432.25,22125.34961,22355.46094,22355.46094,65200
2020-06-19,22515.75,22523.66016,22352.16016,22478.78906,22478.78906,97000
2020-06-22,22353.68945,22575.74023,22311.93945,22437.26953,22437.26953,54600
2020-06-23,22636.06055,22693.89063,22257.14063,22549.05078,22549.05078,0
2020-06-24,22541.00977,22663.28906,22479.85938,22534.32031,22534.32031,67000
2020-06-25,22287.86914,22423.41016,22165.14063,22259.78906,22259.78906,80800
2020-06-26,22424.36914,22589.14063,22408.26953,22512.08008,22512.08008,66600
2020-06-29,22255.05078,22281.38086,21969.58984,21995.03906,21995.03906,73700
2020-06-30,22335.09961,22448.30078,22273.38086,22288.14063,22288.14063,74200
2020-07-01,22338.30078,22360.31055,22039.56055,22121.73047,22121.73047,67400
2020-07-02,22182.67969,22267.50977,22072.10938,22145.96094,22145.96094,73600
2020-07-03,22266.91016,22312.43945,22154.9707,22306.48047,22306.48047,51700
2020-07-06,22341.26953,22734.10938,22325.75,22714.43945,22714.43945,58000
2020-07-07,22649.90039,22742.2793,22540.43945,22614.68945,22614.68945,62700
2020-07-08,22481.60938,22667.94922,22438.65039,22438.65039,22438.65039,64900
2020-07-09,22442.30078,22679.08008,22434.38086,22529.28906,22529.28906,65200
2020-07-10,22534.9707,22563.67969,22285.07031,22290.81055,22290.81055,78800
2020-07-13,22591.81055,22784.74023,22561.4707,22784.74023,22784.74023,71200
2020-07-14,22631.86914,22677.01953,22538.7793,22587.00977,22587.00977,61000
2020-07-15,22817.91016,22965.56055,22800.10938,22945.5,22945.5,72600
2020-07-16,22907.96094,22925.90039,22739.41992,22770.35938,22770.35938,89400
2020-07-17,22807.57031,22857.82031,22643.51953,22696.41992,22696.41992,55900
2020-07-20,22772.07031,22788.5293,22580.18945,22717.48047,22717.48047,50000
2020-07-21,22789.38086,22925.58008,22780.2207,22884.2207,22884.2207,68600
2020-07-22,22791.75,22855.31055,22732.91992,22751.60938,22751.60938,65400
2020-07-27,22495.94922,22741.13086,22429.57031,22715.84961,22715.84961,71800
2020-07-28,22735.01953,22842.18945,22646.2207,22657.38086,22657.38086,67800
2020-07-29,22543.89063,22584.86914,22366.33984,22397.10938,22397.10938,74300
2020-07-30,22489.24023,22506.59961,22334.71094,22339.23047,22339.23047,77800
2020-07-31,22267.58984,22295.05078,21710,21710,21710,106600
2020-08-03,21947.58008,22214.58984,21919.83008,22195.38086,22195.38086,84000
2020-08-04,22379.74023,22603.82031,22379.74023,22573.66016,22573.66016,89100
2020-08-05,22479.7207,22554.19922,22356.25,22514.84961,22514.84961,74000
2020-08-06,22471.71094,22587.75,22362.89063,22418.15039,22418.15039,62600
2020-08-07,22433.7793,22436.16016,22204.60938,22329.93945,22329.93945,66700000
2020-08-11,22505.50977,22760.86914,22497.07031,22750.24023,22750.24023,99300000
2020-08-12,22747.43945,22874.36914,22670.74023,22843.96094,22843.96094,90800000
2020-08-13,23123.35938,23316.68945,23111.5,23249.60938,23249.60938,84800000
2020-08-14,23323.91992,23338.78906,23222.84961,23289.35938,23289.35938,59800000
2020-08-17,23189.48047,23248.75,23068.5293,23096.75,23096.75,43600000
2020-08-18,23097.80078,23128.17969,22948.89063,23051.08008,23051.08008,55600000
2020-08-19,22997.92969,23149.84961,22953.59961,23110.60938,23110.60938,50100000
2020-08-20,23003.58008,23078.35938,22851.83008,22880.61914,22880.61914,50200000
2020-08-21,23022.75977,23135.42969,22920.30078,22920.30078,22920.30078,51200000
2020-08-24,22913.19922,23012.71094,22862.53906,22985.50977,22985.50977,40600000
2020-08-25,23242.74023,23431.03906,23225.39063,23296.76953,23296.76953,75300000
2020-08-26,23257.05078,23348.80078,23203,23290.85938,23290.85938,47800000
2020-08-27,23311.03906,23323.07031,23177.84961,23208.85938,23208.85938,52700000
2020-08-28,23232.30078,23376.13086,22594.78906,22882.65039,22882.65039,98100000
2020-08-31,23147.14063,23342.32031,23102.60938,23139.75977,23139.75977,81000000
2020-09-01,23089.63086,23206.66016,23047.76953,23138.07031,23138.07031,59600000
2020-09-02,23261.08984,23287.40039,23170.82031,23247.15039,23247.15039,52600000
2020-09-03,23524.49023,23580.50977,23426.10938,23465.5293,23465.5293,57500000
2020-09-04,23130.32031,23257.68945,23098.76953,23205.42969,23205.42969,59300000
2020-09-07,23145.4707,23218.2207,23086.89063,23089.94922,23089.94922,57300000
2020-09-08,23188.78906,23277.66016,23129.66016,23274.13086,23274.13086,62100000
2020-09-09,22966.89063,23059.01953,22878.71094,23032.53906,23032.53906,84400000
2020-09-10,23193.4707,23250.31055,23134.01953,23235.4707,23235.4707,67600000
2020-09-11,23114.63086,23412.92969,23114.63086,23406.49023,23406.49023,76900000
2020-09-14,23431.16016,23582.21094,23429.41992,23559.30078,23559.30078,65400000
2020-09-15,23438.83008,23477.85938,23351.34961,23454.89063,23454.89063,61800000
2020-09-16,23425.23047,23506.44922,23397.42969,23475.5293,23475.5293,63000000
